uf;year;area
AC;2015/2016;238.85
AC;2016/2017;430.27
AC;2017/2018;228.57
AC;2018/2019;351.31
AC;2019/2020;636.87
AC;2020/2021;702.74
AC;2021/2022;654.1800000000001
AC;2022/2023;812.9399999999999
AC;2023/2024;411.3
AC;2024/2025;563.73
AC;2025/2026;127.44
AM;2015/2016;2220.14
AM;2016/2017;2210.55
AM;2017/2018;970.77
AM;2018/2019;1413.6299999999999
AM;2019/2020;1714.84
AM;2020/2021;2120.37
AM;2021/2022;2813.5699999999997
AM;2022/2023;2555.4
AM;2023/2024;3505.7799999999997
AM;2024/2025;5133.49
AM;2025/2026;200.36
AP;2015/2016;0.22
AP;2016/2017;113.44
AP;2017/2018;16.59
AP;2018/2019;8.57
AP;2019/2020;13.4
AP;2020/2021;3.44
AP;2021/2022;3.97
AP;2022/2023;46.370000000000005
AP;2023/2024;206.07
AP;2024/2025;249.5
AP;2025/2026;9.8
MA;2015/2016;1290.98
MA;2016/2017;3523.54
MA;2017/2018;1641.78
MA;2018/2019;599.78
MA;2019/2020;259.65
MA;2020/2021;224.55
MA;2021/2022;95.7
MA;2022/2023;147.10999999999999
MA;2023/2024;588.75
MA;2024/2025;1283.46
MA;2025/2026;15.47
MT;2015/2016;11131.31
MT;2016/2017;8306.09
MT;2017/2018;11455.49
MT;2018/2019;5733.21
MT;2019/2020;8094.54
MT;2020/2021;15153.949999999999
MT;2021/2022;7191.0199999999995
MT;2022/2023;12270.07
MT;2023/2024;7214.29
MT;2024/2025;15378.720000000001
MT;2025/2026;1234.22
PA;2015/2016;14955.02
PA;2016/2017;8089.83
PA;2017/2018;12432.7
PA;2018/2019;3518.49
PA;2019/2020;7777.29
PA;2020/2021;9309.24
PA;2021/2022;5411.85
PA;2022/2023;8002.79
PA;2023/2024;10979.63
PA;2024/2025;26435.170000000002
PA;2025/2026;855.07
RO;2015/2016;2110.48
RO;2016/2017;1425.45
RO;2017/2018;1251.51
RO;2018/2019;1403.01
RO;2019/2020;1710.41
RO;2020/2021;2018.53
RO;2021/2022;1808.22
RO;2022/2023;1281.04
RO;2023/2024;1200.96
RO;2024/2025;5001.48
RO;2025/2026;124.4
RR;2015/2016;1862.8799999999999
RR;2016/2017;3405.34
RR;2017/2018;542.97
RR;2018/2019;1587.23
RR;2019/2020;436.5
RR;2020/2021;217.89000000000001
RR;2021/2022;153.1
RR;2022/2023;291.64
RR;2023/2024;4943.55
RR;2024/2025;459.19
RR;2025/2026;70.87
TO;2015/2016;365.76
TO;2016/2017;883.98
TO;2017/2018;1087.38
TO;2018/2019;166.51000000000002
TO;2019/2020;37.9
TO;2020/2021;63.64
TO;2021/2022;8.08
TO;2022/2023;17.7
TO;2023/2024;7.58
TO;2024/2025;302.95
TO;2025/2026;12.510000000000002
